,value
0,0
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,0
36,1
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,1
77,0
78,0
79,0
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,1
157,0
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,0
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,1
393,1
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,1
426,1
427,1
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,0
438,1
439,1
440,1
441,0
442,0
443,1
444,1
445,1
446,0
447,0
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,0
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,0
483,0
484,0
485,0
486,1
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,1
530,1
531,1
532,1
