,value
0,1
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,1
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,1
397,0
398,1
399,1
400,0
401,1
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,1
446,1
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,1
497,1
498,1
499,0
500,0
501,0
502,1
503,0
504,1
505,1
506,0
507,1
508,1
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,1
525,1
526,0
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,0
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,1
561,1
562,0
563,1
564,1
565,0
566,1
567,0
568,0
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,1
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,1
599,1
600,1
601,1
602,1
603,1
604,0
605,0
606,1
607,1
608,1
609,0
610,0
611,1
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,0
622,1
623,1
624,0
625,0
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,0
636,0
637,0
638,0
639,1
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,1
652,1
653,1
654,0
655,0
656,0
657,1
658,0
659,0
660,0
661,0
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,1
676,0
677,1
678,1
679,0
680,0
681,1
682,0
683,1
684,0
685,0
686,0
687,1
688,1
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,1
697,0
698,1
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,1
715,1
716,0
717,1
718,0
719,1
720,1
721,0
722,0
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,0
746,1
747,0
748,1
749,0
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,1
773,1
774,0
775,0
776,1
777,1
778,0
779,1
780,0
781,1
782,1
783,0
784,0
785,1
786,1
787,0
788,1
789,1
790,1
791,0
792,0
793,0
794,1
795,1
796,0
797,0
798,0
799,0
800,1
801,0
802,1
803,1
804,0
805,1
806,1
807,0
808,1
809,0
810,1
811,0
812,1
