,value
0,0
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,0
336,1
337,0
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,0
366,1
367,1
368,1
369,1
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,0
478,1
479,1
480,0
481,0
482,1
483,1
484,1
485,0
486,1
487,1
488,0
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,1
523,1
524,0
525,0
526,1
527,0
528,1
529,0
530,0
531,1
532,1
