seq,target
Rha(a1-2)Rha(a1-3)Rha(b1-4)Rha,1.0
FucNAc(a1-3)QuiNAcNBut(b1-4)FucNAc,1.0
[Col(a1-2)]Gal(b1-3)[Col(a1-4)]GlcNAc(b1-4)GalA(a1-3)QuiNAc,1.0
GalNAc(a1-4)ManNAcA(b1-6)GalNAc,1.0
QuiNAlaAc(b1-4)GalNAcA(a1-4)GalOAc(a1-2)QuiNAlaAc,1.0
Ribf(b1-6)Glc(a1-2)Ribf,1.0
Gal(b1-3)Gal(b1-3)GalNAc(b1-4)Gal,1.0
Ribf(b1-4)GalNAc(a1-2)Ribf,1.0
Gal(b1-3)FucNAc(a1-3)GlcNAc(b1-2)Gal,1.0
[Sug(b1-3)GalOAc(a1-2)]Man(a1-4)Rha(a1-3)Gal(a1-3)Man,1.0
[Man(b1-4)]Gal(a1-4)Rha(a1-3)GlcNAc(b1-3)Gal,1.0
Man(a1-6)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.0
QuiNAc(b1-3)6dTalOAc(a1-3)FucNAc(b1-4)QuiNAc,1.0
NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,1.0
[Col(a1-2)]GalOAcA(b1-3)[Col(a1-4)]GlcNAc(a1-4)GalA(a1-3)QuiNAc,1.0
[Ribf(b1-4)GlcOAcA(a1-2)]Rha(a1-3)Rha(b1-4)Rha(a1-3)GlcNAc(b1-3)Rha,1.0
NeuNAc(a2-8)NeuNGc(a2-3)Gal,1.0
ManNAc(b1-4)GlcNAc(a1-4)ManNAc,1.0
Kdo(b2-6)Glc(b1-6)[GlcNAc(b1-2)]Gal(b1-3)GalNAc(b1-4)Kdo,1.0
GalAGroN(a1-4)NeuNAc(a2-3)GalGroN(b1-3)GlcNAc(b1-3)GalAGroN,1.0
Glc(b1-3)ManOAc(b1-4)Glc,1.0
[Par(a1-3)]Man(a1-4)RhaOAc(a1-3)[Glc(a1-4)]Gal(a1-2)Man,1.0
Gal(a1-3)GalfOAc(b1-3)Gal,1.0
Fuc(a1-4)GalNAc(b1-3)Fuc,1.0
QuiNAc(b1-3)RhaOAc(a1-3)FucNAc(a1-2)QuiNAc,1.0
[Gal(a1-6)]Galf(b1-6)Galf(b1-5)Galf,1.0
AltNAcA(a1-3)FucNAc(b1-4)AltNAcA,1.0
NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS,1.0
NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-3)Gal,1.0
Rha(a1-2)Rha(a1-3)Rha(a1-3)[Glc(a1-6)]GlcNAc(b1-2)Rha,1.0
[FucNAc(a1-4)]Gal(b1-4)Glc(a1-4)GalNAc(a1-3)GalNAc(b1-3)Gal,1.0
NeuNAcOGc(a2-3)Gal(b1-3)GlcNAc,1.0
Gal(a1-3)Gal(b1-4)GalNAc,1.0
Rha(a1-3)Rha(a1-2)[Glc(b1-3)]Rha(a1-3)Rha,1.0
NeuNAc(a2-6)[NeuNGc(a2-3)]Gal(b1-4)Glc,1.0
