seq,target
Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
Fuc(a1-6)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
Fuc(a1-6)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-6)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc,Eukarya
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)GalOAc(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Eukarya
GalOAc(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)GalOAc(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Eukarya
Gal(a1-2)GlcA(b1-4)[XylOMe(a1-3)]Fuc(a1-4)[GalA(a1-2)][GalA(b1-3)]Rha(b1-5)Apif,Eukarya
XylOMe(a1-3)FucOMe(a1-4)RhaOMe(b1-5)ApiOMe-ol,Eukarya
Rha(a1-2)Ara(a1-4)[FucOMe(a1-2)]Gal(a1-2)AcefA(b1-3)Rha(b1-5)Apif,Eukarya
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Eukarya
Xyl(a1-6)Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Eukarya
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Araf(a1-2)][Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Fuc(a1-2)Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Xyl(b1-2)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Araf(a1-2)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Araf(a1-2)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Fuc(a1-2)Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Eukarya
Fuc(a1-2)Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Araf(a1-3)Xyl(b1-2)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Araf(a1-3)Xyl(b1-2)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Xyl(b1-2)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
GalA(a1-4)GalA(a1-4)GalA-ol,Eukarya
Araf(a1-3)Gal(b1-4)Rha-ol,Eukarya
Gal(b1-4)Gal(b1-4)Rha-ol,Eukarya
Araf(a1-2)Araf(a1-3)Gal(b1-4)Rha-ol,Eukarya
Gal(b1-6)Gal(b1-4)Gal(b1-4)Rha-ol,Eukarya
Gal(b1-6)Gal(b1-4)Rha-ol,Eukarya
Fuc(a1-2)Gal(b1-4)Gal(b1-4)Rha-ol,Eukarya
Araf(a1-5)Araf(a1-2)Araf(a1-3)Gal(b1-4)Rha-ol,Eukarya
GalA(a1-2)Rha(a1-4)GalA,Eukarya
GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)[Fuc(a1-6)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
GalA(a1-2)Rha(a1-4)GalA(a1-2)Rha,Eukarya
GalA(a1-2)Rha(a1-4)GalA(a1-2)Rha(a1-4)GalA(a1-2)Rha,Eukarya
Gal(b1-4)[Fuc(a1-6)]GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)[Fuc(a1-6)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Eukarya
Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)][Xyl(b1-2)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Araf(a1-2)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Xyl(b1-2)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)][Araf(a1-2)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Eukarya
