aaMutations	uniqueBarcodes	medianBrightness	std
	3645	3.7192121319	0.106991789588
SA108D	1	1.30103000388	
SA108D:SN144D:SI186V:SM231T:SL234P	1	1.30103123972	
SA108D:SY141N:SH146L:SE220G	1	1.30118904441	
SA108G	2	3.70847807573	0.0206126750976
SA108G:SK138M:SR166C:SL234P	1	3.5827640704	
SA108G:SK154E:SF163S:SL192Q:SL193P	1	1.49957271993	
SA108G:SK156R	1	3.65901297055	
SA108G:SK156R:SI159V:SI186V:ST223S	1	3.57385491883	
SA108P:SK111R:SG172S:SL176P:SS200G	1	1.30103055982	
SA108S	1	3.87297019732	
SA108S:SD127G:SS145G:SQ182R:SN183S:SL205Q	1	1.30103003601	
SA108S:SE130G	1	3.76773489007	
SA108S:SF112V:SF128L:SN210S	1	2.96070167578	
SA108S:SF128S:SD131G:SN162S	1	1.30102999056	
SA108S:SN144D	1	3.6310264224	
SA108S:SQ175L:SL192Q:SI227V	1	3.72908370202	
SA108T	1	3.13739228011	
SA108T:SI150V	1	2.63384474432	
SA108T:SK129E:SS145C:SE170G:ST184S	1	1.3186297114	
SA108T:SK156R:SF163L:SV174A:SQ202L:SK207E	1	1.3010320798	
SA108T:SQ202R:SM216L:SV222A	1	1.30103058508	
SA108T:SV110G:SE140G:SK207N	1	1.38382843766	
SA108V:SE109D:SN210S:SD232N	1	1.66189402382	
SA108V:SI150N:SN183D:SV191A	1	1.29922365081	
SA108V:SI150V	1	1.45093165486	
SA108V:SR120C	1	1.58255177942	
SA108V:ST116A:SY141H:SI227T	1	1.52535667145	
SA152D:SH197R:ST223A	1	1.30102999091	
SA152G:SH167R:SN168S	1	1.36683398425	
SA152G:SN157S:SE233G	1	3.67177782815	
SA152P:SH229L	1	3.73838904826	
SA152P:SK212E	1	3.7043447785	
SA152S:SN157T:SL234P	1	3.57637736428	
SA152T	3	3.73981051962	0.0562352312621
SA152T:SA204G	1	3.62141292483	
SA152T:SD171G:SN183D:SS200G	1	3.25932814845	
SA152T:SE233G	1	3.73624995712	
SA152T:SH167L	1	3.34276425405	
SA152T:SM216T	1	3.35202611193	
SA152T:SN162S:SS203T	1	3.74252087562	
SA152T:SN183S	1	3.71956689163	
SA152T:SN196S:SN210D	1	3.69920044515	
SA152T:SV191A	1	3.63862709987	
SA152V	4	3.54779579074	0.077738510365
SA152V:SE170G	1	3.64354333578	
SA152V:SG226R	1	3.42211115163	
SA152V:SK154M:SK156Q:ST228S	1	3.12244033509	
SA152V:SK156*:SH229L	1	3.08218926003	
SA152V:SK164T	1	3.6545343376	
SA152V:SN157D:SK160E	1	3.42150549149	
SA177P	1	1.61802664932	
SA177S	1	3.6042418866	
SA177S:SF221L	1	3.58365730962	
SA177T	8	3.62931534845	0.0623621136482
SA177T:SI227F	1	3.58185155857	
SA177T:SK207N:SL219Q	1	3.27639619122	
SA177T:ST223A	1	3.62927513957	
SA177V	3	3.69130811916	0.0537552491051
SA177V:SD188G	1	3.63674020729	
SA177V:SH179Y:SN196S	1	3.65454856379	
SA177V:SL234Q	1	3.67580595315	
SA177V:SN196I	1	3.6483350335	
SA177V:ST184A	1	3.59157004101	
SA204D	2	3.6179848087	0.0365846923942
SA204D:SK207E:SH215P	1	1.64688197742	
SA204G	1	3.56786456407	
SA204G:SD214E	1	3.57396052865	
SA204G:SL219P	1	1.30103024762	
SA204S	3	3.60506824096	0.0535849176975
SA204S:SE220G	1	3.13735413312	
SA204T	3	3.81968408211	0.117514219338
SA204T:SD214E	1	3.83340396548	
SA204T:SE233K	1	3.75914384697	
SA204T:SG230D	1	3.73750507467	
SA204T:SI227V	1	3.65635851368	
SA204T:SN210S	1	3.58521052283	
SA204T:SV217A	1	3.57488107433	
SA204V	4	3.85589439229	0.125177196345
SA224D	1	3.26338117027	
SA224S	4	3.5775370072	0.127543609186
SA224T	7	3.60192333225	0.158715942675
SA224T:SD232G	1	3.69333303329	
SA224V	4	3.57485934528	0.0488910630874
SA225D	3	3.67918895509	0.00459053443035
SA225P	1	3.73116200157	
SA225S	1	3.63820589307	
