,Seqs,True,Preds
0,"['Gal', 'a1-6', 'Gal', 'a1-3', 'Galf', 'b1-3', 'ManOP', 'a1-3', 'Man', 'a1-4', 'GlcN']",2,1
1,"['GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",2,2
2,"['GlcA', 'b1-2', 'Man', 'a1-3', 'Glc', 'b1-4', 'Glc', 'b1-4', 'Glc', '1-1', '1-1']",1,1
3,"['Gal', 'b1-3', 'GlcNAc', 'b1-6', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
4,"['QuiNAc', 'b1-3', 'FucOAc', 'a1-4', 'Gal', 'b1-3', 'GalNAc', 'a1-4', 'QuiNAc', 'b1-3', 'FucOAc']",1,2
5,"['Glc', 'a1-2', 'Galf', 'b1-6', 'Gal', 'a1-6', 'Glc', 'a1-3', 'Gal', '1-1', '1-1']",1,1
6,"['Galf', 'b1-3', 'Glc', 'a1-2', 'Galf', 'b1-6', 'GlcOP', 'a1-4', 'Gal', 'b1-3', 'Galf']",1,1
7,"['Glc', 'b1-4', 'Xyl', 'b1-4', 'GlcAOLac', 'b1-6', 'Glc', 'b1-4', 'Gal', '1-1', '1-1']",1,1
8,"['GalNAc', 'b1-3', 'Gal', 'a1-4', 'Gal', 'b1-4', 'Glc', 'b1-2', 'LDManHepOPEtn', 'a1-2', 'LDManHepOPEtn']",1,2
9,"['FucNThrAc', 'a1-3', 'GalNAc', 'a1-3', 'Rha', 'a1-3', 'FucNThrAc', '1-1', '1-1', '1-1', '1-1']",1,1
10,"['Tyv', 'a1-3', 'Man', 'a1-4', 'Rha', 'a1-3', 'Gal', 'a1-2', 'Man', '1-1', '1-1']",1,1
11,"['Man', 'a1-4', 'ManOMe', 'a1-4', 'ManOMe', 'a1-4', 'ManOMe', 'a1-4', 'ManOMe', 'a1-4', 'ManOMe']",1,2
12,"['GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",2,2
13,"['Glc', 'b1-2', 'Glc', 'b1-2', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,2
14,"['GalNAcOAcAN', 'a1-4', 'GalNFoAN', 'a1-3', 'QuiNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
15,"['Glc', 'b1-4', 'Glc', 'b1-6', 'GalOPyr', 'a1-4', 'GlcA', 'a1-3', 'GlcA', 'a1-4', 'Glc']",1,1
16,"['Man', 'a1-2', 'Man', 'a1-4', 'Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,2
17,"['ManOPyr', 'a1-4', 'GlcA', 'b1-3', 'Gal', 'a1-3', 'Glc', 'b1-4', 'Fuc', '1-1', '1-1']",1,1
18,"['3,6-Anhydro-L-Gal', 'a1-3', 'Gal', 'b1-4', '3,6-Anhydro-L-Gal', 'a1-3', 'GalOMe', 'b1-4', '3,6-Anhydro-L-Gal', 'a1-3', 'Gal']",1,2
19,"['Rha', 'a1-3', 'Rha', 'a1-2', 'Glc', 'a1-3', 'GlcNAc', 'a1-3', 'Rha', '1-1', '1-1']",1,1
20,"['Rha', 'a1-2', 'Rha', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
21,"['Glc', 'b1-4', 'Glc', 'b1-3', 'Glc', 'b1-2', 'Glc', 'a1-2', 'Fruf', '1-1', '1-1']",2,1
22,"['ManA', 'b1-4', 'L-GulA', 'a1-4', 'ManA', 'b1-4', 'ManA', '1-1', '1-1', '1-1', '1-1']",1,2
23,"['GalNAcA', 'a1-3', 'QuiNAcNBut', 'a1-3', 'QuiNAcNButGro', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
24,"['Galf', 'b1-6', 'Glc', 'a1-2', 'Galf', 'a1-2', 'Galf', 'b1-5', 'Galf', '1-1', '1-1']",2,1
25,"['GalOP', 'a1-6', 'Gal', 'a1-3', 'Galf', 'b1-3', 'ManOP', 'a1-3', 'Man', 'a1-4', 'GlcN']",2,1
26,"['Rha', 'a1-2', 'Rha', 'a1-3', 'D-FucNAc', 'a1-4', 'Rha', 'a1-3', 'Rha', 'a1-3', 'Rha']",1,2
27,"['Gal', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Gal', 'b1-4', 'GlcNAc']",2,2
28,"['ManA', 'b1-4', 'L-Gul', 'a1-4', 'ManA', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
29,"['Xyl', 'a1-6', 'Glc', 'b1-4', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Glc', 'b1-4', 'Xyl']",2,1
30,"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc']",3,2
31,"['Man', 'a1-3', 'Xyl', 'b1-2', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'b1-4', 'GlcNAc']",2,1
32,"['Rha', 'a1-4', 'FucNAc', 'a1-3', 'GlcNAc', 'b1-3', 'Rha', '1-1', '1-1', '1-1', '1-1']",1,1
33,"['Rha', 'a1-3', 'L-Xyl', 'b1-2', 'Rha', 'b1-4', 'Rha', 'a1-2', 'Rha', '1-1', '1-1']",1,1
34,"['D-Fuc', 'a1-2', 'Rha', 'a1-3', 'D-Fuc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
35,"['Galf', 'b1-6', 'Galf', 'b1-5', 'Galf', 'b1-2', 'Man', 'a1-6', 'Man', 'a1-6', 'Galf']",2,2
36,"['QuiNAc', 'b1-3', 'GlcNAcOAc', 'b1-2', 'Glc', 'a1-4', 'GalOPGro', 'b1-3', 'GlcNAcOAc', 'a1-3', 'QuiNAc']",1,1
37,"['Rha', 'a1-4', 'Glc', 'a1-2', 'LDManHep', 'a1-3', 'D-FucNBut', 'a1-4', 'LegNAcNAm', 'a2-6', 'Glc']",1,1
38,"['Glc', 'a1-4', 'GalNAc', 'a1-2', 'DDManHep', 'a1-6', 'GlcNGly', 'a1-4', 'LDManHep', 'a1-2', 'DDManHep']",1,1
39,"['Gal', 'a1-2', 'Gal', 'a1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
40,"['PseNAcOBut', 'b2-6', 'Gal', 'a1-6', 'Glc', 'a1-2', 'Galf', 'b1-3', 'GlcNAc', '1-1', '1-1']",1,1
41,"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc']",2,1
42,"['GlcN', 'a1-3', 'GlcNAcOPGroA', 'a6-6', 'GlcN', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,2
43,"['Glc', 'b1-2', 'Alt', 'b1-4', 'Glc', 'b1-3', 'GlcOLac', 'b1-4', 'GalOLac', 'a1-4', 'Alt']",1,1
44,"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man']",2,1
45,"['Abe', 'a1-3', 'Man', 'a1-4', 'Rha', 'a1-3', 'GalOP', '1-1', '1-1', '1-1', '1-1']",1,1
46,"['GlcNAc', 'b1-2', 'GalOPyr', 'b1-4', 'Man', 'b1-4', 'Gal', 'a1-3', 'GlcNAc', '1-1', '1-1']",1,1
47,"['Man', 'b1-4', 'Man', 'b1-4', 'Gal', 'a1-6', 'Man', 'b1-4', 'Gal', 'a1-6', 'Man']",2,1
48,"['Gal', 'b1-3', 'NeuNAc', 'a2-6', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
49,"['D-Rha', 'a1-4', 'GalNAcA', 'a1-3', 'QuiNAc', 'a1-3', 'D-Rha', '1-1', '1-1', '1-1', '1-1']",1,1
50,"['Glc', 'b1-4', 'L-DigOMe', 'a1-4', 'DigOMe', 'b1-4', 'Dig', '1-1', '1-1', '1-1', '1-1']",2,1
51,"['Gal', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man']",2,2
52,"['Rha', 'a1-4', 'Glc', 'b1-6', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
53,"['Man', 'b1-4', 'Man', 'b1-4', 'Man', 'b1-4', 'Man', '1-1', '1-1', '1-1', '1-1']",2,2
54,"['Glc', 'b1-6', 'Gal', 'a1-2', 'GlcGro', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
55,"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'GalNAc', 'b1-4', 'GlcNAc', 'b1-2', 'Man']",2,1
56,"['GlcNBut', 'a1-4', 'GalNAc', 'a1-3', 'GalNAc', 'b1-2', 'GlcOP', 'a1-3', 'GlcNBut', '1-1', '1-1']",1,2
57,"['Glc', 'b1-3', 'Rha', 'a1-2', 'D-FucOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
58,"['L-GulNAcNAmA', 'a1-4', 'ManNAcA', 'b1-3', 'D-FucNAc', 'a1-4', 'L-GulNAcNAmA', '1-1', '1-1', '1-1', '1-1']",1,1
59,"['GlcNAcOP', 'a1-3', 'GlcNAcOP', 'a1-3', 'GlcNAcOP', 'a1-3', 'GlcNAc', '1-1', '1-1', '1-1', '1-1']",1,2
60,"['Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'GlcNAc', 'a1-2', 'LDManHepOPEtn']",1,1
61,"['GlcOP-ol', '3-6', 'Gal', 'a1-2', 'Gal', 'b1-3', 'D-6dXylHexNAc4Ulo', 'b1-3', 'Rha', 'a1-3', 'GlcOP-ol']",1,2
62,"['Glc', 'b1-6', 'Glc', 'a1-4', 'GlcA', 'b1-6', 'Man', 'b1-3', 'Glc', 'b1-4', 'GlcOP']",1,1
63,"['Glc', 'a1-3', 'Glc', 'a1-3', 'LDManHep', 'a1-3', 'GlcN', 'a1-7', 'LDManHep', 'a1-7', 'LDManHepOPPEtn']",1,1
64,"['Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Fuc', 'a1-3', 'GlcNAc', 'b1-6', 'NeuNAc']",2,1
65,"['Glc', 'b1-4', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
66,"['Gal', 'a1-4', 'Man', 'a1-4', 'Kdo', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
67,"['Man', 'a1-2', 'Gal', 'b1-4', 'Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
68,"['ManOMe', 'b1-4', 'AraOMe', 'a1-4', 'GlcA', 'b1-4', 'Xyl', 'b1-3', 'ManOMe', '1-1', '1-1']",2,1
69,"['NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Fuc', 'a1-3', 'Gal', 'b1-4', 'GlcNAc']",2,2
70,"['Gal', 'a1-2', 'Gal', 'a1-2', 'Glc', 'b1-3', 'Glc', 'a1-3', 'Glc', 'a1-3', 'GlcN']",1,1
71,"['NeuNAc', 'a2-3', 'Gal', 'b1-4', 'GlcNAcOS', 'b1-3', 'Gal', 'b1-4', 'GlcNAcOS', 'b1-3', 'Gal']",2,2
72,"['GalOS', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'NeuNAc', 'a2-3', 'Gal', 'b1-4', 'GlcNAc']",2,1
73,"['Glc', 'a1-4', 'Gal', 'b1-4', 'Glc', 'b1-3', 'Gal', '1-1', '1-1', '1-1', '1-1']",1,1
74,"['Gal', 'b1-4', 'Gal', 'b1-6', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
75,"['Gal', 'a1-4', 'Gal', 'b1-4', 'GlcNAc', 'b1-4', 'NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc']",2,1
76,"['Glc', 'b1-4', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
77,"['QuiOMe', 'b1-4', 'DigOMe', 'b1-4', 'Dig', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,2
78,"['L-QuiNAc', 'a1-3', 'QuiNAc', 'b1-4', 'Fuc', 'a1-2', 'GalA', 'b1-3', 'GlcNAcOPEtn', 'b1-3', 'Gal']",1,1
79,"['Glc', 'a1-6', 'Gal', 'a1-3', 'Glc', 'b1-4', 'FucNAc', 'a1-3', 'GlcNAcGro', '1-1', '1-1']",1,1
80,"['Glc', 'a1-3', 'QuiNAc', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
81,"['Gal', 'a1-4', 'GalOPyr', 'a1-3', 'Rha', 'a1-3', 'Gal', '1-1', '1-1', '1-1', '1-1']",1,1
82,"['Fuc', 'a1-3', 'GalNAc', 'b1-4', 'GlcNAc', 'b1-3', 'Fuc', 'a1-3', 'GalNAc', 'b1-4', 'GlcNAc']",2,1
83,"['Fuc', 'a1-2', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
84,"['QuiNAc', 'b1-3', 'Glc', 'a1-6', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
85,"['Man', 'a1-3', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'Fuc']",2,2
86,"['Man', 'a1-2', 'Man', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-6', 'Man']",2,2
87,"['GalOAc', 'b1-2', 'D-Rha', 'a1-4', 'GalOAc', 'a1-2', 'GlcA', 'a1-3', 'GalOAc', 'b1-6', 'Man']",1,1
88,"['ManNAcA', 'b1-4', 'ManNAcA', 'b1-3', 'D-FucNAc', 'a1-4', 'ManNAcA', '1-1', '1-1', '1-1', '1-1']",1,1
89,"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-6', 'Man', 'a1-2', 'Man', 'a1-3', 'Man']",2,2
90,"['Gal', 'a1-6', 'Gal', 'a1-6', 'Gal', 'a1-6', 'Glc', 'b1-3', 'Glc', 'b1-6', 'Glc']",2,2
91,"['Glc', 'a1-2', 'LDManHep', 'a1-6', 'LDManHep', 'a1-2', 'DDManHepOPGroA', 'a1-5', 'KdoOPPEtnN', '1-1', '1-1']",1,1
92,"['NeuNGc', 'a2-3', 'Gal', 'b1-3', 'NeuNAc', 'a2-6', 'GalNAc', '1-1', '1-1', '1-1', '1-1']",2,1
93,"['Gal', 'a1-2', 'Ribf', 'b1-4', 'Gal', 'b1-4', 'Glc', 'b1-7', 'D-9dThrAltNon-onic', '2-6', 'Glc']",1,1
94,"['Fuc', 'a1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-3', 'NeuNAc', 'a2-6', 'GalNAc', '1-1', '1-1']",2,1
95,"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Gal', 'b1-4', 'GlcNAc', 'b1-4', 'Man', 'a1-3', 'Gal']",2,1
96,"['Rha', 'a1-3', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Rha', 'a1-3', 'Rha', 'a1-3', 'ManOMe']",1,1
97,"['Rha', 'a1-3', 'Rha', 'a1-3', 'Rha', 'b1-3', 'Rha', '1-1', '1-1', '1-1', '1-1']",1,1
98,"['Fuc', 'a1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Fuc', 'a1-3', 'GlcNAc']",2,1
99,"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",2,2
100,"['NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'NeuNGc', 'a2-6', 'Gal']",2,2
101,"['GlcN', 'a1-7', 'LDManHep', 'a1-2', 'LDManHep', 'a1-3', 'Gal', 'b1-4', 'LDManHep', 'a1-6', 'Glc']",1,1
102,"['Glc', 'b1-4', 'Glc', 'b1-3', 'Gal', 'b1-4', 'GlcOPyr', 'b1-3', 'Glc', 'b1-3', 'Glc']",1,1
103,"['Glc', 'b1-6', 'Glc', 'b1-6', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1']",2,2
104,"['Xyl', 'b1-4', 'Araf', 'a1-3', 'Xyl', 'b1-4', 'Xyl', 'b1-4', 'Araf', 'a1-2', 'Araf']",2,2
105,"['Gal', 'b1-6', 'Gal', 'b1-6', 'Galf', 'b1-3', 'Glc', 'b1-6', 'Galf', 'b1-6', 'Gal']",1,2
106,"['GalAN', 'a1-4', 'GalN', 'a1-4', 'GalA', 'a1-4', 'GlcN', 'b1-3', 'GalN', 'b1-4', 'GalAN']",1,1
107,"['Man', 'a1-3', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-6', 'Man', 'b1-4', 'GlcNAc']",3,2
108,"['Glc', 'a1-3', 'LDManHep', 'a1-3', 'LDManHep', 'a1-5', 'Kdo', '1-1', '1-1', '1-1', '1-1']",1,1
109,"['Galf', 'b1-2', 'Galf', 'b1-4', 'Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2,1
110,"['Gal', 'b1-3', 'GlcNAc', 'a1-4', 'GalA', 'a1-2', 'Ribf', 'b1-4', 'Gal', '1-1', '1-1']",1,1
111,"['NeuNAc', 'a2-3', 'Gal', 'b1-3', 'GalNAc', 'b1-4', 'NeuNAc', 'a2-3', 'Gal', 'b1-4', 'Glc']",2,1
112,"['Xyl', 'b1-3', 'Xyl', 'b1-4', 'Man', 'a1-3', 'Man', '1-1', '1-1', '1-1', '1-1']",2,1
113,"['GalNAc', 'a1-3', 'Fuc', 'a1-2', 'GalOS', 'b1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'ManOMe']",2,1
114,"['GlcNAc', 'a1-2', 'LDManHep', 'a1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'LDManHep', '1-1', '1-1']",1,1
115,"['Fruf', 'b1-2', 'Fruf', 'b1-2', 'Fruf', 'b2-6', 'Glc', 'a1-2', 'Fruf', '1-1', '1-1']",2,1
116,"['GlcNAc', 'b1-2', 'Galf', 'b1-6', 'GlcNAcOP', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
117,"['GlcNAcAN', 'b1-4', 'L-GalOAcNAmA', 'a1-3', 'D-6dXylHexN4Ulo', 'a1-4', 'GlcNAcAN', '1-1', '1-1', '1-1', '1-1']",1,1
118,"['FucNAc', 'a1-3', 'RhaNAc', 'a1-4', 'GalNAcA', 'a1-3', 'L-QuiNAc', 'a1-3', 'FucNAc', '1-1', '1-1']",1,1
