,Seqs,True-Class0,True-Class1,True-Class2,True-Class3,Predicted-Class0,Predicted-Class1,Predicted-Class2,Predicted-Class3
0,"['Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man']",0.0,0.0,1.0,0.0,6.984375855445535e-10,6.780884723411873e-05,0.9999321699142456,3.512195689836517e-08
1,"['QuiNAlaAc', 'b1-4', 'GalNAcA', 'a1-4', 'GalOAc', 'a1-2', 'QuiNAlaAc', '1-1', '1-1', '1-1', '1-1']",0.0,1.0,0.0,0.0,4.8776009009543486e-08,0.9999979734420776,2.0661043436120963e-06,6.748073211326755e-09
2,"['QuiNAc', 'b1-4', 'GalAAla', 'a1-4', 'GalAAla', 'a1-3', 'QuiNAc', '1-1', '1-1', '1-1', '1-1']",0.0,1.0,0.0,0.0,1.8278197844168176e-09,1.0,4.9624818143634286e-11,7.253541101093219e-10
3,"['Man', 'a1-3', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'Fuc']",0.0,0.0,1.0,0.0,2.9650523843908344e-14,4.8219244490610436e-05,0.9999516010284424,1.4790229840855318e-07
4,"['D-RhaNAc', 'a1-3', 'Man', 'a1-3', 'Man', 'a1-3', 'RhaOMe', 'a1-3', 'Rha', 'b1-3', 'Man']",0.0,1.0,0.0,0.0,2.685804486798893e-12,0.9999245405197144,7.54907086957246e-05,3.53889149096176e-08
5,"['D-RhaNButOMe', 'a1-2', 'D-RhaNBut', 'a1-2', 'D-RhaNBut', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0,1.0,0.0,0.0,5.305033141667082e-07,0.9999717473983765,2.6814006560016423e-05,9.558087867844733e-07
6,"['Galf', 'b1-5', 'Glc', 'b1-6', 'Galf', 'b1-5', 'Galf', '1-1', '1-1', '1-1', '1-1']",0.0,1.0,0.0,0.0,3.7885436454665466e-10,0.8309409618377686,0.16905902326107025,1.7068140234499651e-09
7,"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc', '1-1', '1-1']",0.0,0.0,1.0,0.0,6.120033191336915e-08,0.17447495460510254,0.7309464812278748,0.09457843750715256
8,"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc', '1-1', '1-1']",0.0,0.0,0.0,1.0,6.120033191336915e-08,0.17447495460510254,0.7309464812278748,0.09457843750715256
9,"['Gal', 'a1-3', 'ManOPyr', 'a1-3', 'Rha', 'a1-3', 'Gal', '1-1', '1-1', '1-1', '1-1']",0.0,1.0,0.0,0.0,2.7530588919688626e-10,0.9998145699501038,0.00018176787125412375,3.72835074813338e-06
10,"['QuiNAc', 'b1-3', 'Ribf', 'b1-4', 'Gal', 'b1-3', 'GalNAc', 'a1-2', 'QuiNAc', '1-1', '1-1']",0.0,1.0,0.0,0.0,7.291976538651573e-14,0.9999997615814209,1.9903123416042945e-07,5.654433084950616e-13
11,"['Man', 'a1-2', 'ManOPEtn', 'a1-6', 'Man', 'a1-2', 'Man', 'a1-3', 'Man', 'a1-6', 'Man']",0.0,0.0,1.0,0.0,1.1817762914090313e-11,3.1518666787633265e-07,0.9999996423721313,1.7185088907467616e-09
12,"['ManNAc', 'b1-2', 'Rha', 'a1-2', 'Rha', 'a1-3', 'Glc', 'a1-3', 'GlcNAc', '1-1', '1-1']",0.0,1.0,0.0,0.0,1.028186091822647e-09,0.9999992847442627,6.998851063144684e-07,9.159575320438762e-10
13,"['Rha', 'a1-2', 'Glc', 'b1-3', 'Gal', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0,0.0,1.0,0.0,2.0985333470946443e-09,0.07840720564126968,0.9215928316116333,1.4367265599446455e-08
14,"['Gal', 'a1-6', 'Man', 'a1-3', 'Fuc', 'a1-2', 'Gal', 'a1-6', 'Gal', 'a1-6', 'Man']",0.0,0.0,1.0,0.0,5.689703482664177e-12,1.7484773707110435e-05,0.999982476234436,6.131258695196706e-11
15,"['Xyl', 'b1-4', 'Gal', 'a1-2', 'XylOMe', 'a1-2', 'RhaOMe', 'a1-3', 'D-Rha', 'a1-3', 'Fuc']",0.0,0.0,0.0,1.0,3.617391497456879e-09,0.18440257012844086,0.1658073216676712,0.6497901082038879
