seqs,preds,method,Method Type
"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-6', 'Man', 'a1-2', 'Man', 'a1-3', 'Man']",6.069434e-09,Original-Random,Random
"['GlcOP', 'a1-3', 'Galf', 'b1-3', 'GlcNAc', 'b1-2', 'Galf', 'b1-6', 'GlcNAc', '1-1', '1-1']",1.3206848e-08,Original-Random,Random
"['GlcA', 'b1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Rha-ol', '1-1', '1-1', '1-1', '1-1']",1.3342587e-08,Original-Random,Random
"['NeuNAc', 'a2-3', 'Gal', 'b1-3', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",8.4737516e-11,Original-Random,Random
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', 'a1-6', 'Man', '1-1', '1-1', '1-1', '1-1']",9.784228e-07,Original-Random,Random
"['Gal', 'a1-2', 'D-Fuc', 'a1-3', 'Galf', 'b1-3', 'D-Fuc', '1-1', '1-1', '1-1', '1-1']",1.655049e-07,Original-Random,Random
"['Fuc', 'a1-4', 'Gal', 'b1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Fuc', 'a1-4', 'Gal']",2.876481e-14,Original-Random,Random
"['Glc', 'b1-3', 'Glc', 'b1-2', 'Rha', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1']",1.7298373e-08,Original-Random,Random
"['Glc', 'b1-4', 'Rha', 'a1-2', 'GalOP', 'a1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'Glc']",2.205763e-07,Original-Random,Random
"['Glc', 'a1-3', 'Man', 'a1-3', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1']",3.0082625e-09,Original-Random,Random
"['QuiNAlaBut', 'b1-6', 'GlcNAc', 'a1-3', 'L-QuiNAc', 'a1-3', 'GlcNAcOAc', 'a1-3', 'QuiNAlaBut', '1-1', '1-1']",2.440631e-07,Original-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Gal', 'a1-3', 'D-FucNAc', 'a1-2', 'Rha']",2.4492606e-12,Original-Random,Random
"['Fuc', 'a1-3', 'Fuc', 'a1-6', 'GlcNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",9.9356825e-09,Original-Random,Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Xyl', 'b1-2', 'Man', '1-1', '1-1']",3.7201893e-08,Original-Random,Random
"['GlcNAc', 'b1-3', 'Rha', 'a1-2', 'Rha', 'a1-3', 'L-Xyl', 'b1-4', 'Rha', 'a1-3', 'GlcNAc']",5.0756958e-11,Original-Random,Random
"['GalA', 'a1-4', 'GalA', 'a1-5', 'Kdo', 'a2-4', 'Man', 'a1-5', 'Kdo', '1-1', '1-1']",2.3601503e-11,Original-Random,Random
"['Xyl', 'b1-4', 'Rha', 'a1-2', 'Rha', 'a1-3', 'QuiOMe', '1-1', '1-1', '1-1', '1-1']",1.7914362e-09,Original-Random,Random
"['Glc', 'a1-4', 'Glc', 'b1-3', 'GalNAc', 'b1-3', 'Man', '1-1', '1-1', '1-1', '1-1']",1.08915374e-08,Original-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",9.072303e-08,Original-Random,Random
"['Glc', 'b1-2', 'Xyl', 'b1-3', 'Glc', 'b1-4', 'Gal', '1-1', '1-1', '1-1', '1-1']",5.4973796e-08,Original-Random,Random
"['ManOMe', 'a1-2', 'Man', 'a1-2', 'Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",3.9215408e-07,Original-Random,Random
"['NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Fuc', 'a1-3', 'Gal']",3.1803633e-15,Original-Random,Random
"['GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",4.0914852e-10,Original-Random,Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.5380465e-05,Original-Random,Random
"['D-Rha', 'a1-3', 'D-Rha', 'a1-3', 'D-Rha', 'a1-2', 'D-Rha', 'a1-2', 'D-Rha', 'a1-2', 'D-Rha']",9.865978e-09,Original-Random,Random
"['Tyv', 'a1-3', 'Man', 'b1-4', 'Rha', 'a1-3', 'Glc', 'a1-4', 'Gal', 'a1-6', 'Man']",3.876837e-10,Original-Random,Random
"['NeuNAc', 'a2-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'GlcNAcOAc']",6.580602e-12,Original-Random,Random
"['Gal', 'a1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Gal', 'a1-3', 'Gal']",2.4462789e-13,Original-Random,Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",5.7589437e-05,Original-Random,Random
"['QuiNAc', 'b1-3', 'FucOAc', 'a1-4', 'Gal', 'b1-3', 'GalNAc', 'a1-4', 'QuiNAc', 'b1-3', 'FucOAc']",2.0308442e-12,Original-Random,Random
"['Galf', 'b1-5', 'Glc', 'b1-6', 'Galf', 'b1-5', 'Galf', '1-1', '1-1', '1-1', '1-1']",3.4690387e-10,Original-Random,Random
"['Glc', 'b1-3', 'Gal', 'b1-6', 'Fuc', 'a1-2', 'Man', 'a1-4', 'Glc', '1-1', '1-1']",1.4719718e-11,Original-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'a1-4', 'DDManHep', 'a1-6', 'Glc', 'b1-4', 'LDManHep']",8.070562e-10,Original-Random,Random
"['Galf', 'b1-5', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.300264e-07,Original-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'GlcNAc']",3.676866e-10,Original-Random,Random
"['LDManHep', 'a1-2', 'DDManHep', 'a1-2', 'GalA', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', 'a1-3', 'Glc']",9.39372e-12,Original-Random,Random
"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc', '1-1', '1-1']",1.8309298e-07,Original-Random,Random
"['GlcA', 'a1-2', 'Galf', 'b1-6', 'Galf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.136288e-07,Original-Random,Random
"['FucNFo', 'a1-4', 'GalA', 'a1-4', 'GalNAc', 'a1-4', 'GalNAc', 'a1-3', 'GalNAc', 'b1-3', 'GalA']",2.4390006e-12,Original-Random,Random
"['NeuNGc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Gal', 'b1-4', 'GlcNAc']",7.0968426e-13,Original-Random,Random
"['Rha', 'a1-3', 'RhaOAc', 'a1-6', 'Gal', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.0509847e-10,Original-Random,Random
"['Rha', 'a1-2', 'Ara', 'a1-2', 'GlcA', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",7.162766e-12,Original-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man']",5.981488e-10,Original-Random,Random
