seqs,preds,method
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', 'a1-6', 'Man', '1-1', '1-1', '1-1', '1-1']",9.784228e-07,Original-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.5380465e-05,Original-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",5.7589437e-05,Original-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0001309406,Original-Random
"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",2.5873756e-05,Original-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00059002306,Original-Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",1.1265269e-06,Original-Random
"['Glc', 'a1-3', 'Glc', 'a1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.613573e-07,Original-Random
"['Man', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man']",1.0680554e-06,Original-Random
"['Glc', 'b1-6', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.0792409e-06,Original-Random
"['Glc', 'b1-2', '1-4', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.263972e-06,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '2,5-Anhydro-Man-ol', '1-1', '1-1']",4.812025e-05,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', '1-6', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00017656518,Mutated-Random
"['Glc', 'a1-3', 'Glc', 'a1-3', '1dEry-ol', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",3.0814008e-05,Mutated-Random
"['1dEry-ol', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",0.00051341986,Mutated-Random
"['Glc', 'b1-6', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-3', '1-1']",1.4021579e-05,Mutated-Random
"['Glc', '1-5', 'Glc', 'a1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",3.3332995e-05,Mutated-Random
"['GlcA', 'a1-2', 'Galf', '1dEry-ol', 'Galf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",7.4871487e-06,Mutated-Random
"['GlcNAc', 'b1-3', 'GlcNAc', '1dEry-ol', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",9.26108e-06,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', '2,5-Anhydro-Man-ol', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.002621661,Mutated-Random
"['Galf', '1-6', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.9807454e-05,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '1dAlt-ol', '1-1', '1-1']",0.00014280759,Mutated-Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1dAlt-ol', '1-1', '1-1', '1-1', '1-1', '1-1']",9.866548e-05,Mutated-Random
"['1-3', 'b1-5', 'Galf', 'b1-6', 'GalfOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0004993784,Mutated-Random
"['Glc', 'b1-4', '1-3', 'a1-2', 'GalOP', 'a1-3', 'Gal', 'b1-4', 'Glc', 'b1-4', 'Glc']",1.866125e-05,Mutated-Random
"['Glc', 'b1-2', '1-4', 'a1-3', 'Man', 'b1-4', 'Man', 'b1-3', 'GlcNAc', 'b1-3', 'Glc']",2.8720886e-05,Mutated-Random
"['GlcA', 'b1-3', '1-1', 'a1-3', 'GalNAc', 'a1-2', 'Fuc', 'a1-2', 'GlcA', '1-1', '1-1']",8.747336e-06,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '2,5-Anhydro-Man', '1-1', '1-1']",6.566395e-05,Mutated-Random
"['Glc', 'a1-3', 'Glc', '1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.1661073e-05,Mutated-Random
"['Man', 'a1-3', 'Man', 'a1-6', '1-5', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",6.4323162e-06,Mutated-Random
