,Seqs,True,Preds
0,"['GlcNMeOCmOVac', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc', 'b1-4', 'FucOAcOMe', 'a1-6', 'GlcNAc', '1-1', '1-1']",1,1
1,"['ManOPyr', 'b1-4', 'GlcA', 'a1-4', 'Glc', 'b1-3', 'ManOPyr', '1-1', '1-1', '1-1', '1-1']",1,1
2,"['GlcNAcNAlaFo', 'b1-4', 'ManNAcNAmA', 'b1-4', 'GlcNAcNAlaFo', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
3,"['Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Glc']",2,2
4,"['GalAGroN', 'b1-3', 'GlcNAc', 'b1-3', 'GalAGroN', 'a1-4', 'NeuNAc', '1-1', '1-1', '1-1', '1-1']",1,1
5,"['PseNAcOBut', 'b2-6', 'Gal', 'a1-6', 'Glc', 'a1-2', 'Galf', 'b1-3', 'GlcNAc', '1-1', '1-1']",1,1
6,"['Glc', 'a1-6', 'Glc', 'a1-6', 'Glc', 'b1-4', 'Glc', 'b1-3', 'GalN', 'a1-4', 'GlcNAcA']",1,2
7,"['Glc', 'b1-3', 'Glc', 'b1-6', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1']",2,2
8,"['GalA', 'b1-7', 'LDManHep', 'a1-7', 'GalN', 'a1-4', 'GalA', 'a1-3', 'LDManHepOPEtn', 'a1-3', 'Glc']",1,1
9,"['Gal', 'a1-6', 'GlcNAcOP', 'a1-6', 'Gal', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1,1
10,"['NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man']",2,2
11,"['NeuNAc', 'a2-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-6', 'Glc', 'a1-4', 'Gal', 'b1-4', 'Glc']",1,2
12,"['Fuc', 'a1-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'GlcNAc', 'b1-2', 'Man']",2,2
13,"['Gal', 'a1-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Gal', 'b1-4', 'GlcNAc']",2,2
